"","study_category_var","yi","vi","study","category","variable","category_variable"
"1","davis2008_2_inhibition",0.262798094683385,0.069027891489309,"davis2008","2","inhibition","2_inhibition"
"2","davis2008_2_Outcome expectations",0.731513902299233,0.051887618369108,"davis2008","2","Outcome expectations","2_Outcome expectations"
"3","davis2008_2_self-efficacy",0.143207173985627,0.0152169156977599,"davis2008","2","self-efficacy","2_self-efficacy"
"4","davis2008_2_self-esteem",0.348096911566849,0.0226894040576388,"davis2008","2","self-esteem","2_self-esteem"
"5","davis2008_2_strength",-1.07426648963883,0.881823818412605,"davis2008","2","strength","2_strength"
"6","fonzi2008_2_QOL",-0.0683572537563845,0.0213818855772295,"fonzi2008","2","QOL","2_QOL"
"7","fonzi2008_2_strength",-0.0381890687287418,0.0455849028612257,"fonzi2008","2","strength","2_strength"
"8","Ghroubi2009_2_disorders",-0.75553133807145,0.0518407116544214,"Ghroubi2009","2","disorders","2_disorders"
"9","Ghroubi2009_2_strength",114582.003766448,3361859897.91671,"Ghroubi2009","2","strength","2_strength"
"10","Goldfield2015_1_mood",0.0700495672957313,0.0111441880589048,"Goldfield2015","1","mood","1_mood"
"11","Goldfield2015_1_QOL",0.708924631290607,0.204306232997567,"Goldfield2015","1","QOL","1_QOL"
"12","Goldfield2015_1_self-esteem",0.288072287954013,0.00598278243619705,"Goldfield2015","1","self-esteem","1_self-esteem"
"13","Goldfield2015_2_mood",0.193668220029791,0.0296964293091701,"Goldfield2015","2","mood","2_mood"
"14","Goldfield2015_2_QOL",0.0882349783138309,0.00965553188573842,"Goldfield2015","2","QOL","2_QOL"
"15","Goldfield2015_2_self-esteem",0.0916230490104488,0.00639252525196927,"Goldfield2015","2","self-esteem","2_self-esteem"
"16","Goldfield2015_3_mood",0.000455849260723751,0.00623215006614162,"Goldfield2015","3","mood","3_mood"
"17","Goldfield2015_3_QOL",0.588572950707913,0.205139829410007,"Goldfield2015","3","QOL","3_QOL"
"18","Goldfield2015_3_self-esteem",0.166361216425429,0.00618763976654159,"Goldfield2015","3","self-esteem","3_self-esteem"
"19","Levinger2011_1_disorders",-0.964498602099488,0.200856953732134,"Levinger2011","1","disorders","1_disorders"
"20","Levinger2011_1_strength",1.22131429682432,0.18637297049488,"Levinger2011","1","strength","1_strength"
"21","Martins2011_1_mood",-0.245843680728423,0.0176707049907894,"Martins2011","1","mood","1_mood"
"22","Martins2011_1_strength",2.12832215955936,0.401150711017628,"Martins2011","1","strength","1_strength"
"23","Martins2011_3_mood",-0.399554442497982,0.0198658360541486,"Martins2011","3","mood","3_mood"
"24","Martins2011_3_strength",0.522793283465692,0.461786698608508,"Martins2011","3","strength","3_strength"
"25","Messier2014_2_inhibition",0.282781848532601,0.0195311387451158,"Messier2014","2","inhibition","2_inhibition"
"26","Messier2014_2_Outcome expectations",0.0851852452109956,0.0195356146876051,"Messier2014","2","Outcome expectations","2_Outcome expectations"
"27","Messier2014_2_QOL",0.173792324501582,0.00851319519316581,"Messier2014","2","QOL","2_QOL"
"28","Messier2014_2_self-efficacy",0.0666666666666665,0.0586045810395281,"Messier2014","2","self-efficacy","2_self-efficacy"
"29","Messier2014_2_self-esteem",0.0309692183701385,0.0276711997220609,"Messier2014","2","self-esteem","2_self-esteem"
"30","Messier2014_2_strength",1.1506489088911,0.058590354797262,"Messier2014","2","strength","2_strength"
"31","Messier2014_2_stress",0.0102599179206567,0.0586069590921206,"Messier2014","2","stress","2_stress"
"32","Plotnikoff2010_1_QOL",0.191470645130587,0.0592584659843477,"Plotnikoff2010","1","QOL","1_QOL"
"33","Plotnikoff2010_1_self-efficacy",0.493883659679232,0.0236963906733824,"Plotnikoff2010","1","self-efficacy","1_self-efficacy"
"34","Plotnikoff2010_1_strength",0.553439938258005,0.0395024003911733,"Plotnikoff2010","1","strength","1_strength"
"35","Sarsan2006_1_disorders",-0.54139559091416,0.139982554146013,"Sarsan2006","1","disorders","1_disorders"
"36","Sarsan2006_1_strength",1.74385384215307,0.0620330391442926,"Sarsan2006","1","strength","1_strength"
"37","Sarsan2006_3_disorders",0.617296174781496,0.139887133806717,"Sarsan2006","3","disorders","3_disorders"
"38","Sarsan2006_3_strength",0.441357923953418,0.0524968727030541,"Sarsan2006","3","strength","3_strength"
"39","Schranz2014_1_Outcome expectations",-0.157142857142857,0.114712510225074,"Schranz2014","1","Outcome expectations","1_Outcome expectations"
"40","Schranz2014_1_self-efficacy",0.82394597042392,0.0573465126419733,"Schranz2014","1","self-efficacy","1_self-efficacy"
"41","Schranz2014_1_self-esteem",0.563590699711582,0.057347062801248,"Schranz2014","1","self-esteem","1_self-esteem"
"42","Schranz2014_1_strength",1.17906097905955,0.0572546470858539,"Schranz2014","1","strength","1_strength"
"43","Yu2001_2_self-esteem",0.0993426963547921,0.00620834760680403,"Yu2001","2","self-esteem","2_self-esteem"
"44","Yu2001_2_strength",0.249360777595855,0.0136581244728709,"Yu2001","2","strength","2_strength"
